,Image,Detections,Confidence %,TP,FP,Acc TP,Acc FP,Precision,Recall
28,Image 1162,gopinath krishna temple,100.0,1,0,28,0,1.0,0.007551240560949299
29,Image 1073,kala-bhairava,100.0,1,0,29,0,1.0,0.007820927723840345
30,Image 651,trailokya mohan,100.0,1,0,30,0,1.0,0.008090614886731391
31,Image 1068,bhuvana lakshmeshvara,100.0,1,0,31,0,1.0,0.008360302049622438
32,Image 652,bhimeleshvara,100.0,1,0,32,0,1.0,0.008629989212513484
33,Image 1648,jagannatha temple,100.0,1,0,33,0,1.0,0.00889967637540453
34,Image 1486,degu tale temple_KDS,100.0,1,0,34,0,1.0,0.009169363538295576
35,Image 654,garud,100.0,1,0,35,0,1.0,0.009439050701186624
36,Image 656,trailokya mohan,100.0,1,0,36,0,1.0,0.009708737864077669
37,Image 1469,jagannatha temple,100.0,1,0,37,0,1.0,0.009978425026968716
38,Image 1063,narayan temple,100.0,1,0,38,0,1.0,0.010248112189859764
39,Image 1655,bhaktapur tower,100.0,1,0,39,0,1.0,0.010517799352750809
40,Image 704,kavindrapura sattal,100.0,1,0,40,0,1.0,0.010787486515641856
41,Image 1703,trailokya mohan,100.0,0,0,40,0,1.0,0.010787486515641856
42,Image 1987,narayan temple,100.0,1,0,41,0,1.0,0.011057173678532902
43,Image 1196,gopinath krishna temple,100.0,1,0,42,0,1.0,0.011326860841423949
44,Image 178,golden gate,100.0,1,0,43,0,1.0,0.011596548004314994
45,Image 1270,badrinath temple,100.0,1,0,44,0,1.0,0.011866235167206042
46,Image 1875,palace of the 55 windows,100.0,1,0,45,0,1.0,0.012135922330097087
47,Image 905,kumari ghar,100.0,1,0,46,0,1.0,0.012405609492988134
48,Image 1266,vastala temple,100.0,1,0,47,0,1.0,0.01267529665587918
49,Image 170,chayasilin mandap,100.0,1,0,48,0,1.0,0.012944983818770227
50,Image 1890,narayan temple,100.0,1,0,49,0,1.0,0.013214670981661273
51,Image 1896,palace of the 55 windows,100.0,1,0,50,0,1.0,0.01348435814455232
52,Image 1899,vastala temple,100.0,1,0,51,0,1.0,0.013754045307443365
53,Image 1905,palace of the 55 windows,100.0,1,0,52,0,1.0,0.014023732470334413
54,Image 1906,palace of the 55 windows,100.0,1,0,53,0,1.0,0.014293419633225458
55,Image 1907,bhupatindra malla column,100.0,1,0,54,0,1.0,0.014563106796116505
56,Image 1907,palace of the 55 windows,100.0,1,0,55,0,1.0,0.01483279395900755
57,Image 969,kavindrapura sattal,100.0,1,0,56,0,1.0,0.015102481121898598
58,Image 960,kasthamandap,100.0,1,0,57,0,1.0,0.015372168284789644
59,Image 935,lalitpur tower,100.0,0,0,57,0,1.0,0.015372168284789644
60,Image 957,trailokya mohan,100.0,1,0,58,0,1.0,0.01564185544768069
61,Image 1867,palace of the 55 windows,100.0,1,0,59,0,1.0,0.015911542610571736
62,Image 1278,vastala temple,100.0,0,0,59,0,1.0,0.015911542610571736
63,Image 114,golden gate,100.0,1,0,60,0,1.0,0.016181229773462782
64,Image 740,kumari ghar,100.0,1,0,61,0,1.0,0.01645091693635383
65,Image 81,jagannatha temple,100.0,1,0,62,0,1.0,0.016720604099244876
66,Image 1706,trailokya mohan,100.0,1,0,63,0,1.0,0.01699029126213592
67,Image 1983,narayan temple,100.0,1,0,64,0,1.0,0.017259978425026967
68,Image 723,degu tale temple_KDS,100.0,1,0,65,0,1.0,0.017529665587918016
69,Image 1732,dattatreya temple,100.0,1,0,66,0,1.0,0.01779935275080906
70,Image 415,shiva temple,100.0,1,0,67,0,1.0,0.018069039913700107
71,Image 1026,trailokya mohan,100.0,1,0,68,0,1.0,0.018338727076591153
72,Image 745,bhuvana lakshmeshvara,100.0,1,0,69,0,1.0,0.0186084142394822
73,Image 1854,chayasilin mandap,100.0,1,0,70,0,1.0,0.018878101402373247
74,Image 1381,jagannatha temple,100.0,1,0,71,0,1.0,0.019147788565264293
75,Image 768,kavindrapura sattal,100.0,1,0,72,0,1.0,0.019417475728155338
76,Image 1203,kedamatha tirtha,100.0,1,0,73,0,1.0,0.019687162891046387
77,Image 106,national gallery,100.0,1,0,74,0,1.0,0.019956850053937433
78,Image 827,shveta bhairava,100.0,1,0,75,0,1.0,0.020226537216828478
79,Image 1956,mahadev temple,100.0,1,0,76,0,1.0,0.020496224379719527
80,Image 1853,palace of the 55 windows,100.0,1,0,77,0,1.0,0.020765911542610573
81,Image 1514,kumari ghar,100.0,0,0,77,0,1.0,0.020765911542610573
82,Image 1232,mahadev temple,100.0,0,0,77,0,1.0,0.020765911542610573
83,Image 440,shiva temple,100.0,1,0,78,0,1.0,0.021035598705501618
84,Image 2062,bhairavnath temple,100.0,1,0,79,0,1.0,0.021305285868392664
85,Image 1626,taleju temple,100.0,1,0,80,0,1.0,0.021574973031283712
86,Image 366,garud,100.0,1,0,81,0,1.0,0.021844660194174758
87,Image 534,chasin dega,100.0,1,0,82,0,1.0,0.022114347357065803
88,Image 1133,indrapura,100.0,1,0,83,0,1.0,0.02238403451995685
89,Image 392,bhimeleshvara,100.0,1,0,84,0,1.0,0.022653721682847898
90,Image 365,garud,100.0,1,0,85,0,1.0,0.022923408845738943
91,Image 1551,indrapura,100.0,1,0,86,0,1.0,0.02319309600862999
92,Image 1605,basantapur tower,100.0,1,0,87,0,1.0,0.023462783171521034
93,Image 411,bhimeleshvara,100.0,1,0,88,0,1.0,0.023732470334412083
94,Image 1565,garud,100.0,1,0,89,0,1.0,0.02400215749730313
95,Image 1558,trailokya mohan,100.0,1,0,90,0,1.0,0.024271844660194174
96,Image 1616,kirtipur tower,100.0,1,0,91,0,1.0,0.02454153182308522
97,Image 372,bhimeleshvara,100.0,1,0,92,0,1.0,0.02481121898597627
98,Image 441,shiva temple,100.0,1,0,93,0,1.0,0.025080906148867314
99,Image 1143,shveta bhairava,100.0,1,0,94,0,1.0,0.02535059331175836
100,Image 1557,bhuvana lakshmeshvara,100.0,1,0,95,0,1.0,0.025620280474649405
101,Image 1618,basantapur tower,100.0,1,0,96,0,1.0,0.025889967637540454
102,Image 544,jagannatha temple,100.0,1,0,97,0,1.0,0.0261596548004315
103,Image 1085,degu tale temple_KDS,100.0,1,0,98,0,1.0,0.026429341963322545
104,Image 1085,narayan temple,100.0,1,0,99,0,1.0,0.02669902912621359
105,Image 345,lalitpur tower,100.0,1,0,100,0,1.0,0.02696871628910464
106,Image 1084,narayan temple,100.0,1,0,101,0,1.0,0.027238403451995685
107,Image 399,bhimeleshvara,100.0,1,0,102,0,1.0,0.02750809061488673
108,Image 1137,trailokya mohan,100.0,1,0,103,0,1.0,0.027777777777777776
109,Image 402,bhimeleshvara,100.0,1,0,104,0,1.0,0.028047464940668825
110,Image 1123,jagannatha temple,100.0,1,0,105,0,1.0,0.02831715210355987
111,Image 408,garud,100.0,1,0,106,0,1.0,0.028586839266450916
112,Image 1125,degu tale temple_KDS,100.0,1,0,107,0,1.0,0.02885652642934196
113,Image 439,shiva temple,100.0,1,0,108,0,1.0,0.02912621359223301
114,Image 411,garud,100.0,1,0,109,0,1.0,0.029395900755124056
115,Image 559,jagannatha temple,100.0,1,0,110,0,1.0,0.0296655879180151
116,Image 1547,trailokya mohan,100.0,1,0,111,0,1.0,0.029935275080906147
117,Image 1126,degu tale temple_KDS,100.0,1,0,112,0,1.0,0.030204962243797196
118,Image 23,indrapura,100.0,1,0,113,0,1.0,0.03047464940668824
119,Image 1084,degu tale temple_KDS,100.0,1,0,114,0,1.0,0.030744336569579287
120,Image 1127,degu tale temple_KDS,100.0,1,0,115,0,1.0,0.031014023732470336
121,Image 1602,kirtipur tower,100.0,0,0,115,0,1.0,0.031014023732470336
122,Image 444,kavindrapura sattal,99.99998807907104,1,0,116,0,1.0,0.03128371089536138
123,Image 1813,nyatapola temple,99.99998807907104,1,0,117,0,1.0,0.03155339805825243
124,Image 559,narayan temple,99.99998807907104,1,0,118,0,1.0,0.03182308522114347
125,Image 839,narayan temple,99.99998807907104,1,0,119,0,1.0,0.03209277238403452
126,Image 1319,palace of the 55 windows,99.99998807907104,1,0,120,0,1.0,0.032362459546925564
127,Image 419,simha sattal,99.99998807907104,1,0,121,0,1.0,0.032632146709816616
128,Image 1973,bhuvana lakshmeshvara,99.99998807907104,1,0,122,0,1.0,0.03290183387270766
129,Image 96,taleju temple,99.99998807907104,1,0,123,0,1.0,0.03317152103559871
130,Image 754,bhuvana lakshmeshvara,99.99998807907104,1,0,124,0,1.0,0.03344120819848975
131,Image 1738,degu tale temple_KDS,99.99998807907104,1,0,125,0,1.0,0.0337108953613808
132,Image 1021,kumari ghar,99.99998807907104,0,0,125,0,1.0,0.0337108953613808
133,Image 1138,gaddi durbar,99.99998807907104,0,0,125,0,1.0,0.0337108953613808
134,Image 1139,trailokya mohan,99.99998807907104,1,0,126,0,1.0,0.03398058252427184
135,Image 817,taleju bell_KDS,99.99998807907104,1,0,127,0,1.0,0.03425026968716289
136,Image 1139,kumari ghar,99.99998807907104,1,0,128,0,1.0,0.034519956850053934
137,Image 724,shveta bhairava,99.99998807907104,1,0,129,0,1.0,0.03478964401294499
138,Image 634,gaddi durbar,99.99998807907104,1,0,130,0,1.0,0.03505933117583603
139,Image 1207,gopinath krishna temple,99.99998807907104,1,0,131,0,1.0,0.03532901833872708
140,Image 1316,palace of the 55 windows,99.99998807907104,1,0,132,0,1.0,0.03559870550161812
141,Image 959,kasthamandap,99.99998807907104,1,0,133,0,1.0,0.03586839266450917
142,Image 131,golden gate,99.99998807907104,1,0,134,0,1.0,0.036138079827400214
143,Image 932,bhaktapur tower,99.99998807907104,1,0,135,0,1.0,0.03640776699029126
144,Image 931,bhaktapur tower,99.99998807907104,1,0,136,0,1.0,0.036677454153182305
145,Image 1908,jagannatha temple,99.99998807907104,1,0,137,0,1.0,0.03694714131607336
146,Image 1907,golden gate,99.99998807907104,1,0,138,0,1.0,0.0372168284789644
147,Image 404,garud,99.99998807907104,1,0,139,0,1.0,0.03748651564185545
148,Image 1906,golden gate,99.99998807907104,1,0,140,0,1.0,0.037756202804746494
149,Image 4,bhuvana lakshmeshvara,99.99998807907104,1,0,141,0,1.0,0.03802588996763754
150,Image 1905,golden gate,99.99998807907104,1,0,142,0,1.0,0.038295577130528585
151,Image 161,vastala temple,99.99998807907104,1,0,143,0,1.0,0.03856526429341963
152,Image 1570,kasthamandap,99.99998807907104,1,0,144,0,1.0,0.038834951456310676
153,Image 165,basantapur tower,99.99998807907104,1,0,145,0,1.0,0.03910463861920173
154,Image 1893,chayasilin mandap,99.99998807907104,1,0,146,0,1.0,0.039374325782092774
155,Image 397,trailokya mohan,99.99998807907104,1,0,147,0,1.0,0.03964401294498382
156,Image 394,bhimeleshvara,99.99998807907104,1,0,148,0,1.0,0.039913700107874865
157,Image 1603,kirtipur tower,99.99998807907104,1,0,149,0,1.0,0.04018338727076591
158,Image 119,golden gate,99.99998807907104,1,0,150,0,1.0,0.040453074433656956
159,Image 891,bhuvana lakshmeshvara,99.99998807907104,1,0,151,0,1.0,0.040722761596548
160,Image 390,bhimeleshvara,99.99998807907104,1,0,152,0,1.0,0.040992448759439054
161,Image 868,bhuvana lakshmeshvara,99.99998807907104,1,0,153,0,1.0,0.0412621359223301
162,Image 867,bhuvana lakshmeshvara,99.99998807907104,1,0,154,0,1.0,0.041531823085221145
163,Image 464,kavindrapura sattal,99.99998807907104,1,0,155,0,1.0,0.04180151024811219
164,Image 866,bhuvana lakshmeshvara,99.99998807907104,1,0,156,0,1.0,0.042071197411003236
165,Image 1604,kirtipur tower,99.99998807907104,1,0,157,0,1.0,0.04234088457389428
166,Image 193,national gallery,99.99998807907104,0,0,157,0,1.0,0.04234088457389428
167,Image 1852,palace of the 55 windows,99.99998807907104,1,0,158,0,1.0,0.04261057173678533
168,Image 388,trailokya mohan,99.99998807907104,1,0,159,0,1.0,0.04288025889967637
169,Image 716,shiva temple,99.99998807907104,1,0,160,0,1.0,0.043149946062567425
170,Image 1053,kala-bhairava,99.99998807907104,1,0,161,0,1.0,0.04341963322545847
171,Image 1028,trailokya mohan,99.99998807907104,1,0,162,0,1.0,0.043689320388349516
172,Image 1086,kala-bhairava,99.99998807907104,1,0,163,0,1.0,0.04395900755124056
173,Image 683,bhimeleshvara,99.99998807907104,1,0,164,0,1.0,0.04422869471413161
174,Image 1995,bhuvana lakshmeshvara,99.99998807907104,1,0,165,0,1.0,0.04449838187702265
175,Image 1996,bhuvana lakshmeshvara,99.99998807907104,1,0,166,0,1.0,0.0447680690399137
176,Image 1617,kirtipur tower,99.99998807907104,1,0,167,0,1.0,0.04503775620280474
177,Image 62,indrapura,99.99998807907104,1,0,168,0,1.0,0.045307443365695796
178,Image 343,lalitpur tower,99.99998807907104,1,0,169,0,1.0,0.04557713052858684
179,Image 25,narayan temple,99.99998807907104,1,0,170,0,1.0,0.04584681769147789
180,Image 1051,degu tale temple_KDS,99.99998807907104,1,0,171,0,1.0,0.04611650485436893
181,Image 47,panchamukhi hanuman,99.99998807907104,1,0,172,0,1.0,0.04638619201725998
182,Image 1661,bhaktapur tower,99.99998807907104,1,0,173,0,1.0,0.04665587918015102
183,Image 695,taleju bell_KDS,99.99998807907104,1,0,174,0,1.0,0.04692556634304207
184,Image 1175,mahadev temple,99.99998807907104,1,0,175,0,1.0,0.047195253505933114
185,Image 1650,bhaktapur tower,99.99998807907104,1,0,176,0,1.0,0.04746494066882417
186,Image 1465,garud,99.99998807907104,1,0,177,0,1.0,0.04773462783171521
187,Image 1174,mahadev temple,99.99998807907104,0,0,177,0,1.0,0.04773462783171521
188,Image 596,kala-bhairava,99.99998807907104,1,0,178,0,1.0,0.04800431499460626
189,Image 2023,taleju bell_KDS,99.99998807907104,1,0,179,0,1.0,0.0482740021574973
190,Image 1554,degu tale temple_KDS,99.99998807907104,1,0,180,0,1.0,0.04854368932038835
191,Image 662,garud,99.99998807907104,1,0,181,0,1.0,0.048813376483279394
192,Image 1651,basantapur tower,99.99998807907104,1,0,182,0,1.0,0.04908306364617044
193,Image 27,kumari ghar,99.99998807907104,1,0,183,0,1.0,0.049352750809061485
194,Image 333,national gallery,99.99998807907104,1,0,184,0,1.0,0.04962243797195254
195,Image 41,panchamukhi hanuman,99.99998807907104,1,0,185,0,1.0,0.04989212513484358
196,Image 706,degu tale temple_KDS,99.99998807907104,1,0,186,0,1.0,0.05016181229773463
197,Image 1193,kedamatha tirtha,99.99998807907104,1,0,187,0,1.0,0.050431499460625674
198,Image 560,jagannatha temple,99.99998807907104,1,0,188,0,1.0,0.05070118662351672
199,Image 411,kasthamandap,99.99998807907104,1,0,189,0,1.0,0.050970873786407765
200,Image 414,shiva temple,99.99998807907104,1,0,190,0,1.0,0.05124056094929881
201,Image 1500,bhuvana lakshmeshvara,99.99998807907104,1,0,191,0,1.0,0.05151024811218986
202,Image 1159,golden gate,99.99998807907104,1,0,192,0,1.0,0.05177993527508091
203,Image 650,bhimeleshvara,99.99998807907104,1,0,193,0,1.0,0.052049622437971954
204,Image 1155,vastala temple,99.99998807907104,1,0,194,0,1.0,0.052319309600863
205,Image 1152,siddhi lakshmi temple,99.99998807907104,1,0,195,0,1.0,0.052588996763754045
206,Image 1642,basantapur tower,99.99998807907104,1,0,196,0,1.0,0.05285868392664509
207,Image 1651,kirtipur tower,99.99998807907104,1,0,197,0,1.0,0.053128371089536136
208,Image 1542,bhuvana lakshmeshvara,99.99998807907104,1,0,198,0,1.0,0.05339805825242718
209,Image 369,bhimeleshvara,99.99998807907104,1,0,199,0,1.0,0.053667745415318234
210,Image 1546,bhuvana lakshmeshvara,99.99998807907104,0,0,199,0,1.0,0.053667745415318234
211,Image 1071,bhuvana lakshmeshvara,99.99998807907104,1,0,200,0,1.0,0.05393743257820928
212,Image 306,chayasilin mandap,99.99998807907104,1,0,201,0,1.0,0.054207119741100325
213,Image 1087,degu tale temple_KDS,99.99998807907104,1,0,202,0,1.0,0.05447680690399137
214,Image 700,kasthamandap,99.99998807907104,1,0,203,0,1.0,0.054746494066882416
215,Image 922,lalitpur tower,99.99997615814209,1,0,204,0,1.0,0.05501618122977346
216,Image 305,chayasilin mandap,99.99997615814209,1,0,205,0,1.0,0.05528586839266451
217,Image 903,trailokya mohan,99.99997615814209,1,0,206,0,1.0,0.05555555555555555
218,Image 936,lalitpur tower,99.99997615814209,1,0,207,0,1.0,0.055825242718446605
219,Image 1502,basantapur tower,99.99997615814209,1,0,208,0,1.0,0.05609492988133765
220,Image 1633,kirtipur tower,99.99997615814209,1,0,209,0,1.0,0.056364617044228696
221,Image 1235,badrinath temple,99.99997615814209,1,0,210,0,1.0,0.05663430420711974
222,Image 310,kedamatha tirtha,99.99997615814209,1,0,211,0,1.0,0.05690399137001079
223,Image 1631,kirtipur tower,99.99997615814209,1,0,212,0,1.0,0.05717367853290183
224,Image 1483,bhuvana lakshmeshvara,99.99997615814209,1,0,213,0,1.0,0.05744336569579288
225,Image 1647,basantapur tower,99.99997615814209,1,0,214,0,1.0,0.05771305285868392
226,Image 322,badrinath temple,99.99997615814209,1,0,215,0,1.0,0.057982740021574976
227,Image 658,garud,99.99997615814209,1,0,216,0,1.0,0.05825242718446602
228,Image 1810,bhairavnath temple,99.99997615814209,1,0,217,0,1.0,0.05852211434735707
229,Image 715,shiva temple,99.99997615814209,1,0,218,0,1.0,0.05879180151024811
230,Image 373,bhimeleshvara,99.99997615814209,1,0,219,0,1.0,0.05906148867313916
231,Image 726,shiva temple,99.99997615814209,1,0,220,0,1.0,0.0593311758360302
232,Image 1611,kirtipur tower,99.99997615814209,1,0,221,0,1.0,0.05960086299892125
233,Image 560,narayan temple,99.99997615814209,1,0,222,0,1.0,0.059870550161812294
234,Image 734,shiva temple,99.99997615814209,1,0,223,0,1.0,0.06014023732470335
235,Image 1431,garud,99.99997615814209,1,0,224,0,1.0,0.06040992448759439
236,Image 1605,kirtipur tower,99.99997615814209,1,0,225,0,1.0,0.06067961165048544
237,Image 1390,lalitpur tower,99.99997615814209,1,0,226,0,1.0,0.06094929881337648
238,Image 707,shveta bhairava,99.99997615814209,1,0,227,0,1.0,0.06121898597626753
239,Image 755,bhuvana lakshmeshvara,99.99997615814209,1,0,228,0,1.0,0.061488673139158574
240,Image 1563,garud,99.99997615814209,1,0,229,0,1.0,0.06175836030204962
241,Image 773,shiva temple,99.99997615814209,1,0,230,0,1.0,0.06202804746494067
242,Image 1653,kirtipur tower,99.99997615814209,1,0,231,0,1.0,0.06229773462783172
243,Image 469,kavindrapura sattal,99.99997615814209,1,0,232,0,1.0,0.06256742179072276
244,Image 420,simha sattal,99.99997615814209,0,0,232,0,1.0,0.06256742179072276
245,Image 809,taleju bell_KDS,99.99997615814209,1,0,233,0,1.0,0.0628371089536138
246,Image 556,shveta bhairava,99.99997615814209,1,0,234,0,1.0,0.06310679611650485
247,Image 1329,bhairavnath temple,99.99997615814209,1,0,235,0,1.0,0.0633764832793959
248,Image 816,taleju bell_KDS,99.99997615814209,1,0,236,0,1.0,0.06364617044228695
249,Image 694,taleju bell_KDS,99.99997615814209,1,0,237,0,1.0,0.063915857605178
250,Image 828,shveta bhairava,99.99997615814209,1,0,238,0,1.0,0.06418554476806904
251,Image 1316,national gallery,99.99997615814209,1,0,239,0,1.0,0.06445523193096009
252,Image 1556,garud,99.99997615814209,1,0,240,0,1.0,0.06472491909385113
253,Image 665,bhimeleshvara,99.99997615814209,1,0,241,0,1.0,0.06499460625674218
254,Image 391,bhimeleshvara,99.99997615814209,1,0,242,0,1.0,0.06526429341963323
255,Image 1661,basantapur tower,99.99997615814209,1,0,243,0,1.0,0.06553398058252427
256,Image 1584,vishnu temple,99.99997615814209,0,0,243,0,1.0,0.06553398058252427
257,Image 1078,indrapura,99.99997615814209,1,0,244,0,1.0,0.06580366774541532
258,Image 1062,bhuvana lakshmeshvara,99.99997615814209,1,0,245,0,1.0,0.06607335490830636
259,Image 1101,hanuman idol,99.99997615814209,1,0,246,0,1.0,0.06634304207119741
260,Image 1002,kasthamandap,99.99997615814209,1,0,247,0,1.0,0.06661272923408845
261,Image 84,jagannatha temple,99.99997615814209,1,0,248,0,1.0,0.0668824163969795
262,Image 1972,bhimsen temple,99.99997615814209,1,0,249,0,1.0,0.06715210355987054
263,Image 984,kavindrapura sattal,99.99997615814209,1,0,250,0,1.0,0.0674217907227616
264,Image 1969,chasin dega,99.99997615814209,1,0,251,0,1.0,0.06769147788565265
265,Image 1195,kedamatha tirtha,99.99997615814209,1,0,252,0,1.0,0.06796116504854369
266,Image 51,kala-bhairava,99.99997615814209,0,0,252,0,1.0,0.06796116504854369
267,Image 25,jagannatha temple,99.99997615814209,1,0,253,0,1.0,0.06823085221143474
268,Image 44,panchamukhi hanuman,99.99997615814209,0,0,253,0,1.0,0.06823085221143474
269,Image 1196,kedamatha tirtha,99.99997615814209,1,0,254,0,1.0,0.06850053937432578
270,Image 1159,palace of the 55 windows,99.99997615814209,1,0,255,0,1.0,0.06877022653721683
271,Image 1076,indrapura,99.99997615814209,1,0,256,0,1.0,0.06903991370010787
272,Image 1085,indrapura,99.99997615814209,1,0,257,0,1.0,0.06930960086299892
273,Image 2084,jagannatha temple,99.99997615814209,1,0,258,0,1.0,0.06957928802588997
274,Image 1122,jagannatha temple,99.99997615814209,1,0,259,0,1.0,0.06984897518878101
275,Image 1156,palace of the 55 windows,99.99997615814209,1,0,260,0,1.0,0.07011866235167206
276,Image 1159,national gallery,99.99997615814209,1,0,261,0,1.0,0.0703883495145631
277,Image 2087,degu tale temple_KDS,99.99997615814209,1,0,262,0,1.0,0.07065803667745416
278,Image 33,degu tale temple_KDS,99.99997615814209,1,0,263,0,1.0,0.0709277238403452
279,Image 976,kasthamandap,99.99997615814209,1,0,264,0,1.0,0.07119741100323625
280,Image 1063,indrapura,99.99996423721313,1,0,265,0,1.0,0.0714670981661273
281,Image 1593,kala-bhairava,99.99996423721313,1,0,266,0,1.0,0.07173678532901834
282,Image 1658,kirtipur tower,99.99996423721313,1,0,267,0,1.0,0.07200647249190939
283,Image 665,garud,99.99996423721313,1,0,268,0,1.0,0.07227615965480043
284,Image 1482,trailokya mohan,99.99996423721313,1,0,269,0,1.0,0.07254584681769148
285,Image 1064,indrapura,99.99996423721313,1,0,270,0,1.0,0.07281553398058252
286,Image 1668,bhaktapur tower,99.99996423721313,1,0,271,0,1.0,0.07308522114347357
287,Image 1067,taleju temple,99.99996423721313,1,0,272,0,1.0,0.07335490830636461
288,Image 1875,vastala temple,99.99996423721313,1,0,273,0,1.0,0.07362459546925566
289,Image 1876,palace of the 55 windows,99.99996423721313,1,0,274,0,1.0,0.07389428263214672
290,Image 644,gaddi durbar,99.99996423721313,1,0,275,0,1.0,0.07416396979503775
291,Image 911,lalitpur tower,99.99996423721313,1,0,276,0,1.0,0.0744336569579288
292,Image 34,degu tale temple_KDS,99.99996423721313,1,0,277,0,1.0,0.07470334412081985
293,Image 59,degu tale temple_KDS,99.99996423721313,1,0,278,0,1.0,0.0749730312837109
294,Image 701,chasin dega,99.99996423721313,1,0,279,0,1.0,0.07524271844660194
295,Image 1999,bhairavnath temple,99.99996423721313,1,0,280,0,1.0,0.07551240560949299
296,Image 1027,kumari ghar,99.99996423721313,1,0,281,0,1.0,0.07578209277238404
297,Image 104,vastala temple,99.99996423721313,1,0,282,0,1.0,0.07605177993527508
298,Image 1376,trailokya mohan,99.99996423721313,1,0,283,0,1.0,0.07632146709816613
299,Image 106,palace of the 55 windows,99.99996423721313,1,0,284,0,1.0,0.07659115426105717
300,Image 1836,indrapura,99.99996423721313,1,0,285,0,1.0,0.07686084142394822
301,Image 1804,bhairavnath temple,99.99996423721313,1,0,286,0,1.0,0.07713052858683926
302,Image 758,jagannatha temple,99.99996423721313,1,0,287,0,1.0,0.07740021574973031
303,Image 1197,gopinath krishna temple,99.99996423721313,1,0,288,0,1.0,0.07766990291262135
304,Image 744,bhuvana lakshmeshvara,99.99996423721313,1,0,289,0,1.0,0.0779395900755124
305,Image 1407,kumari ghar,99.99996423721313,1,0,290,0,1.0,0.07820927723840346
306,Image 1411,gaddi durbar,99.99996423721313,1,0,291,0,1.0,0.0784789644012945
307,Image 1206,gopinath krishna temple,99.99996423721313,1,0,292,0,1.0,0.07874865156418555
308,Image 1318,national gallery,99.99996423721313,1,0,293,0,1.0,0.07901833872707659
309,Image 680,bhimeleshvara,99.99996423721313,1,0,294,0,1.0,0.07928802588996764
310,Image 423,shiva temple,99.99996423721313,1,0,295,0,1.0,0.07955771305285868
311,Image 1419,kirtipur tower,99.99996423721313,1,0,296,0,1.0,0.07982740021574973
312,Image 1424,gaddi durbar,99.99996423721313,1,0,297,0,1.0,0.08009708737864078
313,Image 717,shiva temple,99.99996423721313,1,0,298,0,1.0,0.08036677454153182
314,Image 266,mahadev temple,99.99996423721313,1,0,299,0,1.0,0.08063646170442287
315,Image 704,simha sattal,99.99996423721313,1,0,300,0,1.0,0.08090614886731391
316,Image 703,simha sattal,99.99996423721313,1,0,301,0,1.0,0.08117583603020496
317,Image 1529,kala-bhairava,99.99996423721313,1,0,302,0,1.0,0.081445523193096
318,Image 68,narayan temple,99.99996423721313,1,0,303,0,1.0,0.08171521035598706
319,Image 1994,bhuvana lakshmeshvara,99.99996423721313,1,0,304,0,1.0,0.08198489751887811
320,Image 1861,kedamatha tirtha,99.99996423721313,1,0,305,0,1.0,0.08225458468176915
321,Image 1191,kedamatha tirtha,99.99996423721313,1,0,306,0,1.0,0.0825242718446602
