,Image,Detection,Confidence,TP,FP,TN,Acc TP,Acc FP,Acc TN,Recall,Specificity,FPR
51,Image1896,palace of the 55 windows,100.0,1,0,4,50,2,85,0.01348435814455232,0.9770114942528736,0.02298850574712641
52,Image1899,vastala temple,100.0,1,0,1,51,2,86,0.013754045307443365,0.9772727272727273,0.022727272727272707
53,Image1905,palace of the 55 windows,100.0,1,0,2,52,2,88,0.014023732470334413,0.9777777777777777,0.022222222222222254
54,Image1906,palace of the 55 windows,100.0,1,0,3,53,2,91,0.014293419633225458,0.978494623655914,0.021505376344086002
55,Image1907,bhupatindra malla column,100.0,1,0,2,54,2,93,0.014563106796116505,0.9789473684210527,0.021052631578947323
56,Image1907,palace of the 55 windows,100.0,1,0,2,55,2,95,0.01483279395900755,0.979381443298969,0.020618556701030966
57,Image969,kavindrapura sattal,100.0,1,0,1,56,2,96,0.015102481121898598,0.9795918367346939,0.020408163265306145
58,Image960,kasthamandap,100.0,1,0,2,57,2,98,0.015372168284789644,0.98,0.020000000000000018
59,Image935,lalitpur tower,100.0,0,1,0,57,3,98,0.015372168284789644,0.9702970297029703,0.02970297029702973
60,Image957,trailokya mohan,100.0,1,0,1,58,3,99,0.01564185544768069,0.9705882352941176,0.02941176470588236
61,Image1867,palace of the 55 windows,100.0,1,0,3,59,3,102,0.015911542610571736,0.9714285714285714,0.02857142857142858
62,Image1278,vastala temple,100.0,0,1,0,59,4,102,0.015911542610571736,0.9622641509433962,0.037735849056603765
63,Image114,golden gate,100.0,1,0,0,60,4,102,0.016181229773462782,0.9622641509433962,0.037735849056603765
64,Image740,kumari ghar,100.0,1,0,1,61,4,103,0.01645091693635383,0.9626168224299065,0.03738317757009346
65,Image81,jagannatha temple,100.0,1,0,0,62,4,103,0.016720604099244876,0.9626168224299065,0.03738317757009346
66,Image1706,trailokya mohan,100.0,1,0,1,63,4,104,0.01699029126213592,0.9629629629629629,0.03703703703703709
67,Image1983,narayan temple,100.0,1,0,1,64,4,105,0.017259978425026967,0.963302752293578,0.03669724770642202
68,Image723,degu tale temple_KDS,100.0,1,0,1,65,4,106,0.017529665587918016,0.9636363636363636,0.036363636363636376
69,Image1732,dattatreya temple,100.0,1,0,0,66,4,106,0.01779935275080906,0.9636363636363636,0.036363636363636376
70,Image415,shiva temple,100.0,1,0,0,67,4,106,0.018069039913700107,0.9636363636363636,0.036363636363636376
71,Image1026,trailokya mohan,100.0,1,0,1,68,4,107,0.018338727076591153,0.963963963963964,0.036036036036036
72,Image745,bhuvana lakshmeshvara,100.0,1,0,1,69,4,108,0.0186084142394822,0.9642857142857143,0.0357142857142857
73,Image1854,chayasilin mandap,100.0,1,0,5,70,4,113,0.018878101402373247,0.9658119658119658,0.03418803418803418
74,Image1381,jagannatha temple,100.0,1,0,0,71,4,113,0.019147788565264293,0.9658119658119658,0.03418803418803418
75,Image768,kavindrapura sattal,100.0,1,0,0,72,4,113,0.019417475728155338,0.9658119658119658,0.03418803418803418
76,Image1203,kedamatha tirtha,100.0,1,0,1,73,4,114,0.019687162891046387,0.9661016949152542,0.03389830508474578
77,Image106,national gallery,100.0,1,0,3,74,4,117,0.019956850053937433,0.9669421487603306,0.03305785123966942
78,Image827,shveta bhairava,100.0,1,0,0,75,4,117,0.020226537216828478,0.9669421487603306,0.03305785123966942
79,Image1956,mahadev temple,100.0,1,0,1,76,4,118,0.020496224379719527,0.9672131147540983,0.032786885245901676
80,Image1853,palace of the 55 windows,100.0,1,0,4,77,4,122,0.020765911542610573,0.9682539682539683,0.031746031746031744
81,Image1514,kumari ghar,100.0,0,1,0,77,5,122,0.020765911542610573,0.9606299212598425,0.03937007874015752
82,Image1232,mahadev temple,100.0,0,1,1,77,6,123,0.020765911542610573,0.9534883720930233,0.046511627906976716
83,Image440,shiva temple,100.0,1,0,0,78,6,123,0.021035598705501618,0.9534883720930233,0.046511627906976716
84,Image2062,bhairavnath temple,100.0,1,0,1,79,6,124,0.021305285868392664,0.9538461538461539,0.0461538461538461
85,Image1626,taleju temple,100.0,1,0,1,80,6,125,0.021574973031283712,0.9541984732824428,0.04580152671755722
86,Image366,garud,100.0,1,0,0,81,6,125,0.021844660194174758,0.9541984732824428,0.04580152671755722
87,Image534,chasin dega,100.0,1,0,0,82,6,125,0.022114347357065803,0.9541984732824428,0.04580152671755722
88,Image1133,indrapura,100.0,1,0,3,83,6,128,0.02238403451995685,0.9552238805970149,0.04477611940298509
89,Image392,bhimeleshvara,100.0,1,0,1,84,6,129,0.022653721682847898,0.9555555555555556,0.0444444444444444
90,Image365,garud,100.0,1,0,0,85,6,129,0.022923408845738943,0.9555555555555556,0.0444444444444444
91,Image1551,indrapura,100.0,1,0,1,86,6,130,0.02319309600862999,0.9558823529411765,0.044117647058823484
92,Image1605,basantapur tower,100.0,1,0,1,87,6,131,0.023462783171521034,0.9562043795620438,0.04379562043795615
93,Image411,bhimeleshvara,100.0,1,0,2,88,6,133,0.023732470334412083,0.9568345323741008,0.043165467625899234
94,Image1565,garud,100.0,1,0,1,89,6,134,0.02400215749730313,0.9571428571428572,0.042857142857142816
95,Image1558,trailokya mohan,100.0,1,0,1,90,6,135,0.024271844660194174,0.9574468085106383,0.04255319148936165
96,Image1616,kirtipur tower,100.0,1,0,1,91,6,136,0.02454153182308522,0.9577464788732394,0.04225352112676062
97,Image372,bhimeleshvara,100.0,1,0,1,92,6,137,0.02481121898597627,0.958041958041958,0.04195804195804198
98,Image441,shiva temple,100.0,1,0,0,93,6,137,0.025080906148867314,0.958041958041958,0.04195804195804198
99,Image1143,shveta bhairava,100.0,1,0,0,94,6,137,0.02535059331175836,0.958041958041958,0.04195804195804198
100,Image1557,bhuvana lakshmeshvara,100.0,1,0,2,95,6,139,0.025620280474649405,0.9586206896551724,0.04137931034482756
101,Image1618,basantapur tower,100.0,1,0,1,96,6,140,0.025889967637540454,0.958904109589041,0.04109589041095896
102,Image544,jagannatha temple,100.0,1,0,2,97,6,142,0.0261596548004315,0.9594594594594594,0.04054054054054057
103,Image1085,degu tale temple_KDS,100.0,1,0,3,98,6,145,0.026429341963322545,0.9602649006622517,0.039735099337748325
104,Image1085,narayan temple,100.0,1,0,3,99,6,148,0.02669902912621359,0.961038961038961,0.038961038961038974
105,Image345,lalitpur tower,100.0,1,0,0,100,6,148,0.02696871628910464,0.961038961038961,0.038961038961038974
106,Image1084,narayan temple,100.0,1,0,3,101,6,151,0.027238403451995685,0.9617834394904459,0.03821656050955413
107,Image399,bhimeleshvara,100.0,1,0,0,102,6,151,0.02750809061488673,0.9617834394904459,0.03821656050955413
108,Image1137,trailokya mohan,100.0,1,0,1,103,6,152,0.027777777777777776,0.9620253164556962,0.03797468354430378
109,Image402,bhimeleshvara,100.0,1,0,0,104,6,152,0.028047464940668825,0.9620253164556962,0.03797468354430378
110,Image1123,jagannatha temple,100.0,1,0,1,105,6,153,0.02831715210355987,0.9622641509433962,0.037735849056603765
111,Image408,garud,100.0,1,0,1,106,6,154,0.028586839266450916,0.9625,0.03749999999999998
112,Image1125,degu tale temple_KDS,100.0,1,0,1,107,6,155,0.02885652642934196,0.9627329192546584,0.037267080745341574
113,Image439,shiva temple,100.0,1,0,0,108,6,155,0.02912621359223301,0.9627329192546584,0.037267080745341574
114,Image411,garud,100.0,1,0,2,109,6,157,0.029395900755124056,0.9631901840490797,0.036809815950920255
115,Image559,jagannatha temple,100.0,1,0,2,110,6,159,0.0296655879180151,0.9636363636363636,0.036363636363636376
116,Image1547,trailokya mohan,100.0,1,0,1,111,6,160,0.029935275080906147,0.963855421686747,0.03614457831325302
117,Image1126,degu tale temple_KDS,100.0,1,0,1,112,6,161,0.030204962243797196,0.9640718562874252,0.0359281437125748
118,Image23,indrapura,100.0,1,0,2,113,6,163,0.03047464940668824,0.9644970414201184,0.035502958579881616
119,Image1084,degu tale temple_KDS,100.0,1,0,3,114,6,166,0.030744336569579287,0.9651162790697675,0.03488372093023251
120,Image1127,degu tale temple_KDS,100.0,1,0,1,115,6,167,0.031014023732470336,0.9653179190751445,0.034682080924855474
121,Image1602,kirtipur tower,100.0,0,1,0,115,7,167,0.031014023732470336,0.9597701149425287,0.04022988505747127
122,Image444,kavindrapura sattal,99.99998807907104,1,0,0,116,7,167,0.03128371089536138,0.9597701149425287,0.04022988505747127
123,Image1813,nyatapola temple,99.99998807907104,1,0,1,117,7,168,0.03155339805825243,0.96,0.040000000000000036
124,Image559,narayan temple,99.99998807907104,1,0,2,118,7,170,0.03182308522114347,0.96045197740113,0.039548022598870025
125,Image839,narayan temple,99.99998807907104,1,0,1,119,7,171,0.03209277238403452,0.9606741573033708,0.0393258426966292
126,Image1319,palace of the 55 windows,99.99998807907104,1,0,2,120,7,173,0.032362459546925564,0.9611111111111111,0.03888888888888886
127,Image419,simha sattal,99.99998807907104,1,0,0,121,7,173,0.032632146709816616,0.9611111111111111,0.03888888888888886
128,Image1973,bhuvana lakshmeshvara,99.99998807907104,1,0,1,122,7,174,0.03290183387270766,0.9613259668508287,0.03867403314917128
129,Image96,taleju temple,99.99998807907104,1,0,0,123,7,174,0.03317152103559871,0.9613259668508287,0.03867403314917128
130,Image754,bhuvana lakshmeshvara,99.99998807907104,1,0,1,124,7,175,0.03344120819848975,0.9615384615384616,0.038461538461538436
131,Image1738,degu tale temple_KDS,99.99998807907104,1,0,2,125,7,177,0.0337108953613808,0.9619565217391305,0.03804347826086951
132,Image1021,kumari ghar,99.99998807907104,0,1,0,125,8,177,0.0337108953613808,0.9567567567567568,0.043243243243243246
133,Image1138,gaddi durbar,99.99998807907104,0,1,0,125,9,177,0.0337108953613808,0.9516129032258065,0.048387096774193505
134,Image1139,trailokya mohan,99.99998807907104,1,0,1,126,9,178,0.03398058252427184,0.9518716577540107,0.048128342245989275
135,Image817,taleju bell_KDS,99.99998807907104,1,0,0,127,9,178,0.03425026968716289,0.9518716577540107,0.048128342245989275
136,Image1139,kumari ghar,99.99998807907104,1,0,1,128,9,179,0.034519956850053934,0.9521276595744681,0.0478723404255319
137,Image724,shveta bhairava,99.99998807907104,1,0,1,129,9,180,0.03478964401294499,0.9523809523809523,0.04761904761904767
138,Image634,gaddi durbar,99.99998807907104,1,0,1,130,9,181,0.03505933117583603,0.9526315789473684,0.047368421052631615
139,Image1207,gopinath krishna temple,99.99998807907104,1,0,1,131,9,182,0.03532901833872708,0.9528795811518325,0.04712041884816753
140,Image1316,palace of the 55 windows,99.99998807907104,1,0,5,132,9,187,0.03559870550161812,0.9540816326530612,0.04591836734693877
141,Image959,kasthamandap,99.99998807907104,1,0,1,133,9,188,0.03586839266450917,0.9543147208121827,0.045685279187817285
142,Image131,golden gate,99.99998807907104,1,0,5,134,9,193,0.036138079827400214,0.9554455445544554,0.044554455445544594
143,Image932,bhaktapur tower,99.99998807907104,1,0,2,135,9,195,0.03640776699029126,0.9558823529411765,0.044117647058823484
144,Image931,bhaktapur tower,99.99998807907104,1,0,2,136,9,197,0.036677454153182305,0.9563106796116505,0.043689320388349495
145,Image1908,jagannatha temple,99.99998807907104,1,0,1,137,9,198,0.03694714131607336,0.9565217391304348,0.04347826086956519
146,Image1907,golden gate,99.99998807907104,1,0,2,138,9,200,0.0372168284789644,0.9569377990430622,0.0430622009569378
147,Image404,garud,99.99998807907104,1,0,0,139,9,200,0.03748651564185545,0.9569377990430622,0.0430622009569378
148,Image1906,golden gate,99.99998807907104,1,0,3,140,9,203,0.037756202804746494,0.9575471698113207,0.04245283018867929
149,Image4,bhuvana lakshmeshvara,99.99998807907104,1,0,2,141,9,205,0.03802588996763754,0.9579439252336449,0.04205607476635509
150,Image1905,golden gate,99.99998807907104,1,0,2,142,9,207,0.038295577130528585,0.9583333333333334,0.04166666666666663
151,Image161,vastala temple,99.99998807907104,1,0,1,143,9,208,0.03856526429341963,0.9585253456221198,0.04147465437788023
152,Image1570,kasthamandap,99.99998807907104,1,0,1,144,9,209,0.038834951456310676,0.9587155963302753,0.041284403669724745
153,Image165,basantapur tower,99.99998807907104,1,0,1,145,9,210,0.03910463861920173,0.958904109589041,0.04109589041095896
154,Image1893,chayasilin mandap,99.99998807907104,1,0,3,146,9,213,0.039374325782092774,0.9594594594594594,0.04054054054054057
155,Image397,trailokya mohan,99.99998807907104,1,0,1,147,9,214,0.03964401294498382,0.9596412556053812,0.04035874439461884
156,Image394,bhimeleshvara,99.99998807907104,1,0,1,148,9,215,0.039913700107874865,0.9598214285714286,0.0401785714285714
157,Image1603,kirtipur tower,99.99998807907104,1,0,1,149,9,216,0.04018338727076591,0.96,0.040000000000000036
158,Image119,golden gate,99.99998807907104,1,0,0,150,9,216,0.040453074433656956,0.96,0.040000000000000036
159,Image891,bhuvana lakshmeshvara,99.99998807907104,1,0,1,151,9,217,0.040722761596548,0.9601769911504425,0.03982300884955747
160,Image390,bhimeleshvara,99.99998807907104,1,0,1,152,9,218,0.040992448759439054,0.960352422907489,0.03964757709251099
161,Image868,bhuvana lakshmeshvara,99.99998807907104,1,0,1,153,9,219,0.0412621359223301,0.9605263157894737,0.03947368421052633
162,Image867,bhuvana lakshmeshvara,99.99998807907104,1,0,1,154,9,220,0.041531823085221145,0.9606986899563319,0.0393013100436681
163,Image464,kavindrapura sattal,99.99998807907104,1,0,0,155,9,220,0.04180151024811219,0.9606986899563319,0.0393013100436681
164,Image866,bhuvana lakshmeshvara,99.99998807907104,1,0,1,156,9,221,0.042071197411003236,0.9608695652173913,0.03913043478260869
165,Image1604,kirtipur tower,99.99998807907104,1,0,1,157,9,222,0.04234088457389428,0.961038961038961,0.038961038961038974
166,Image193,national gallery,99.99998807907104,0,1,0,157,10,222,0.04234088457389428,0.9568965517241379,0.0431034482758621
167,Image1852,palace of the 55 windows,99.99998807907104,1,0,4,158,10,226,0.04261057173678533,0.9576271186440678,0.0423728813559322
168,Image388,trailokya mohan,99.99998807907104,1,0,1,159,10,227,0.04288025889967637,0.9578059071729957,0.04219409282700426
169,Image716,shiva temple,99.99998807907104,1,0,0,160,10,227,0.043149946062567425,0.9578059071729957,0.04219409282700426
170,Image1053,kala-bhairava,99.99998807907104,1,0,2,161,10,229,0.04341963322545847,0.9581589958158996,0.04184100418410042
171,Image1028,trailokya mohan,99.99998807907104,1,0,1,162,10,230,0.043689320388349516,0.9583333333333334,0.04166666666666663
172,Image1086,kala-bhairava,99.99998807907104,1,0,3,163,10,233,0.04395900755124056,0.9588477366255144,0.04115226337448563
173,Image683,bhimeleshvara,99.99998807907104,1,0,2,164,10,235,0.04422869471413161,0.9591836734693877,0.04081632653061229
174,Image1995,bhuvana lakshmeshvara,99.99998807907104,1,0,0,165,10,235,0.04449838187702265,0.9591836734693877,0.04081632653061229
175,Image1996,bhuvana lakshmeshvara,99.99998807907104,1,0,1,166,10,236,0.0447680690399137,0.959349593495935,0.04065040650406504
176,Image1617,kirtipur tower,99.99998807907104,1,0,1,167,10,237,0.04503775620280474,0.9595141700404858,0.04048582995951422
177,Image62,indrapura,99.99998807907104,1,0,1,168,10,238,0.045307443365695796,0.9596774193548387,0.040322580645161255
178,Image343,lalitpur tower,99.99998807907104,1,0,0,169,10,238,0.04557713052858684,0.9596774193548387,0.040322580645161255
179,Image25,narayan temple,99.99998807907104,1,0,3,170,10,241,0.04584681769147789,0.9601593625498008,0.03984063745019917
180,Image1051,degu tale temple_KDS,99.99998807907104,1,0,1,171,10,242,0.04611650485436893,0.9603174603174603,0.03968253968253965
181,Image47,panchamukhi hanuman,99.99998807907104,1,0,0,172,10,242,0.04638619201725998,0.9603174603174603,0.03968253968253965
182,Image1661,bhaktapur tower,99.99998807907104,1,0,2,173,10,244,0.04665587918015102,0.9606299212598425,0.03937007874015752
183,Image695,taleju bell_KDS,99.99998807907104,1,0,0,174,10,244,0.04692556634304207,0.9606299212598425,0.03937007874015752
184,Image1175,mahadev temple,99.99998807907104,1,0,1,175,10,245,0.047195253505933114,0.9607843137254902,0.039215686274509776
185,Image1650,bhaktapur tower,99.99998807907104,1,0,1,176,10,246,0.04746494066882417,0.9609375,0.0390625
186,Image1465,garud,99.99998807907104,1,0,2,177,10,248,0.04773462783171521,0.9612403100775194,0.03875968992248058
187,Image1174,mahadev temple,99.99998807907104,0,1,0,177,11,248,0.04773462783171521,0.9575289575289575,0.0424710424710425
188,Image596,kala-bhairava,99.99998807907104,1,0,0,178,11,248,0.04800431499460626,0.9575289575289575,0.0424710424710425
189,Image2023,taleju bell_KDS,99.99998807907104,1,0,0,179,11,248,0.0482740021574973,0.9575289575289575,0.0424710424710425
190,Image1554,degu tale temple_KDS,99.99998807907104,1,0,1,180,11,249,0.04854368932038835,0.9576923076923077,0.04230769230769227
191,Image662,garud,99.99998807907104,1,0,1,181,11,250,0.048813376483279394,0.9578544061302682,0.04214559386973182
192,Image1651,basantapur tower,99.99998807907104,1,0,1,182,11,251,0.04908306364617044,0.9580152671755725,0.041984732824427495
193,Image27,kumari ghar,99.99998807907104,1,0,1,183,11,252,0.049352750809061485,0.9581749049429658,0.041825095057034245
194,Image333,national gallery,99.99998807907104,1,0,1,184,11,253,0.04962243797195254,0.9583333333333334,0.04166666666666663
195,Image41,panchamukhi hanuman,99.99998807907104,1,0,0,185,11,253,0.04989212513484358,0.9583333333333334,0.04166666666666663
196,Image706,degu tale temple_KDS,99.99998807907104,1,0,1,186,11,254,0.05016181229773463,0.9584905660377359,0.04150943396226414
197,Image1193,kedamatha tirtha,99.99998807907104,1,0,1,187,11,255,0.050431499460625674,0.9586466165413534,0.041353383458646586
198,Image560,jagannatha temple,99.99998807907104,1,0,2,188,11,257,0.05070118662351672,0.9589552238805971,0.04104477611940294
199,Image411,kasthamandap,99.99998807907104,1,0,2,189,11,259,0.050970873786407765,0.9592592592592593,0.040740740740740744
200,Image414,shiva temple,99.99998807907104,1,0,0,190,11,259,0.05124056094929881,0.9592592592592593,0.040740740740740744
201,Image1500,bhuvana lakshmeshvara,99.99998807907104,1,0,1,191,11,260,0.05151024811218986,0.959409594095941,0.040590405904059046
202,Image1159,golden gate,99.99998807907104,1,0,3,192,11,263,0.05177993527508091,0.9598540145985401,0.04014598540145986
203,Image650,bhimeleshvara,99.99998807907104,1,0,2,193,11,265,0.052049622437971954,0.9601449275362319,0.03985507246376807
204,Image1155,vastala temple,99.99998807907104,1,0,1,194,11,266,0.052319309600863,0.9602888086642599,0.03971119133574008
205,Image1152,siddhi lakshmi temple,99.99998807907104,1,0,3,195,11,269,0.052588996763754045,0.9607142857142857,0.03928571428571426
206,Image1642,basantapur tower,99.99998807907104,1,0,2,196,11,271,0.05285868392664509,0.9609929078014184,0.03900709219858156
207,Image1651,kirtipur tower,99.99998807907104,1,0,1,197,11,272,0.053128371089536136,0.9611307420494699,0.03886925795053009
208,Image1542,bhuvana lakshmeshvara,99.99998807907104,1,0,2,198,11,274,0.05339805825242718,0.9614035087719298,0.038596491228070184
209,Image369,bhimeleshvara,99.99998807907104,1,0,0,199,11,274,0.053667745415318234,0.9614035087719298,0.038596491228070184
210,Image1546,bhuvana lakshmeshvara,99.99998807907104,0,1,0,199,12,274,0.053667745415318234,0.958041958041958,0.04195804195804198
211,Image1071,bhuvana lakshmeshvara,99.99998807907104,1,0,1,200,12,275,0.05393743257820928,0.9581881533101045,0.04181184668989546
212,Image306,chayasilin mandap,99.99998807907104,1,0,4,201,12,279,0.054207119741100325,0.9587628865979382,0.04123711340206182
213,Image1087,degu tale temple_KDS,99.99998807907104,1,0,2,202,12,281,0.05447680690399137,0.9590443686006825,0.04095563139931746
214,Image700,kasthamandap,99.99998807907104,1,0,1,203,12,282,0.054746494066882416,0.9591836734693877,0.04081632653061229
215,Image922,lalitpur tower,99.99997615814209,1,0,2,204,12,284,0.05501618122977346,0.9594594594594594,0.04054054054054057
216,Image305,chayasilin mandap,99.99997615814209,1,0,3,205,12,287,0.05528586839266451,0.959866220735786,0.04013377926421402
217,Image903,trailokya mohan,99.99997615814209,1,0,1,206,12,288,0.05555555555555555,0.96,0.040000000000000036
218,Image936,lalitpur tower,99.99997615814209,1,0,2,207,12,290,0.055825242718446605,0.9602649006622517,0.039735099337748325
219,Image1502,basantapur tower,99.99997615814209,1,0,0,208,12,290,0.05609492988133765,0.9602649006622517,0.039735099337748325
220,Image1633,kirtipur tower,99.99997615814209,1,0,0,209,12,290,0.056364617044228696,0.9602649006622517,0.039735099337748325
221,Image1235,badrinath temple,99.99997615814209,1,0,2,210,12,292,0.05663430420711974,0.9605263157894737,0.03947368421052633
222,Image310,kedamatha tirtha,99.99997615814209,1,0,1,211,12,293,0.05690399137001079,0.9606557377049181,0.03934426229508192
223,Image1631,kirtipur tower,99.99997615814209,1,0,0,212,12,293,0.05717367853290183,0.9606557377049181,0.03934426229508192
224,Image1483,bhuvana lakshmeshvara,99.99997615814209,1,0,1,213,12,294,0.05744336569579288,0.9607843137254902,0.039215686274509776
225,Image1647,basantapur tower,99.99997615814209,1,0,2,214,12,296,0.05771305285868392,0.961038961038961,0.038961038961038974
226,Image322,badrinath temple,99.99997615814209,1,0,1,215,12,297,0.057982740021574976,0.9611650485436893,0.03883495145631066
227,Image658,garud,99.99997615814209,1,0,1,216,12,298,0.05825242718446602,0.9612903225806452,0.03870967741935483
228,Image1810,bhairavnath temple,99.99997615814209,1,0,0,217,12,298,0.05852211434735707,0.9612903225806452,0.03870967741935483
229,Image715,shiva temple,99.99997615814209,1,0,0,218,12,298,0.05879180151024811,0.9612903225806452,0.03870967741935483
230,Image373,bhimeleshvara,99.99997615814209,1,0,1,219,12,299,0.05906148867313916,0.9614147909967846,0.03858520900321538
231,Image726,shiva temple,99.99997615814209,1,0,0,220,12,299,0.0593311758360302,0.9614147909967846,0.03858520900321538
232,Image1611,kirtipur tower,99.99997615814209,1,0,1,221,12,300,0.05960086299892125,0.9615384615384616,0.038461538461538436
233,Image560,narayan temple,99.99997615814209,1,0,2,222,12,302,0.059870550161812294,0.9617834394904459,0.03821656050955413
